lncRNA,target
ABHD15-AS1,BTBD2
ABHD15-AS1,BRINP2
ABHD15-AS1,BTBD10
ABHD15-AS1,BRD2
ABHD15-AS1,C1QTNF4
ABHD15-AS1,BRSK1
ABHD15-AS1,BIN1
ABHD15-AS1,ATXN7L3B
ABHD15-AS1,C12orf76
ABHD15-AS1,AUTS2
ABHD15-AS1,BICRAL
ABHD15-AS1,ATP13A3
ABHD15-AS1,BCL11A
ABHD15-AS1,C1orf43
ABHD15-AS1,CA11
ABHD15-AS1,BCL7A
ABHD15-AS1,C1orf115
ABHD15-AS1,AVL9
ABHD15-AS1,C7orf50
ABHD15-AS1,BRSK2
ABHD15-AS1,C1orf159
ABHD15-AS1,CABP1
ABHD15-AS1,BSDC1
ABHD15-AS1,BCLAF3
ABHD15-AS1,C1orf52
ABHD15-AS1,CA10
ABHD15-AS1,BCR
ABHD15-AS1,C2orf72
ABHD15-AS1,C11orf58
ABHD15-AS1,BCOR
ABHD15-AS1,C9orf85
ABHD15-AS1,ATRNL1
ABHD15-AS1,CACNG7
ABHD15-AS1,CAB39L
ABHD15-AS1,CAB39
ABHD15-AS1,BMPR1A
ABHD15-AS1,CACYBP
ABHD15-AS1,BTBD3
ABHD15-AS1,BTRC
ABHD15-AS1,C6orf62
ABHD15-AS1,BCL2
ABHD15-AS1,BRD10
ABHD15-AS1,CADM4
ABHD15-AS1,BORCS5
ABHD15-AS1,CAMK1
ABHD15-AS1,BMAL2
ABHD15-AS1,C2CD5
ABHD15-AS1,CALM3
ABHD15-AS1,CACNA2D3
ABHD15-AS1,CAMKMT
ABHD15-AS1,CALY
ABHD15-AS1,BBS2
ABHD15-AS1,CAMK2N1
ABHD15-AS1,BRI3BP
ABHD15-AS1,CADM3
ABHD15-AS1,C11orf87
ABHD15-AS1,CAPNS1
ABHD15-AS1,BPNT2
ABHD15-AS1,CABLES1
ABHD15-AS1,CAMKK1
ABHD15-AS1,BDH1
ABHD15-AS1,CAMKV
ABHD15-AS1,CALM1
ABHD15-AS1,BRD4
ABHD15-AS1,BAZ2A
ABHD15-AS1,CAMK2G
ABHD15-AS1,BCL11B
ABHD15-AS1,BTAF1
ABHD15-AS1,CAP1
ABHD15-AS1,C1GALT1
ABHD15-AS1,CACNB1
ABHD15-AS1,BMP2K
ABHD15-AS1,CADPS2
ABHD15-AS1,CAPN7
ABHD15-AS1,BTBD9
ABHD15-AS1,CAMK2B
ABHD15-AS1,CACHD1
ABHD15-AS1,CACNG2
ABHD15-AS1,CBX3
ABHD15-AS1,CAMK2A
ABHD15-AS1,C16orf87
ABHD15-AS1,CASC3
ABHD15-AS1,CCDC200
ABHD15-AS1,CADPS
ABHD15-AS1,CACNB2
ABHD15-AS1,C6orf89
ABHD15-AS1,CBFB
ABHD15-AS1,CCDC12
ABHD15-AS1,CAMTA2
ABHD15-AS1,CAST
ABHD15-AS1,CC2D1A
ABHD15-AS1,CAPRIN1
ABHD15-AS1,CCDC85B
ABHD15-AS1,CARNS1
ABHD15-AS1,CASD1
ABHD15-AS1,CCDC3
ABHD15-AS1,CAMLG
ABHD15-AS1,CARNMT1
ABHD15-AS1,CAMKK2
ABHD15-AS1,CCK
ABHD15-AS1,CCDC136
ABHD15-AS1,CCDC138
ABHD15-AS1,CCNC
ABHD15-AS1,CAPZB
ABHD15-AS1,CAPZA2
ABHD15-AS1,CABIN1
ABHD15-AS1,CAPS2
ABHD15-AS1,CATSPER2
ABHD15-AS1,CCND3
ABHD15-AS1,CCT2
ABHD15-AS1,BTBD7
ABHD15-AS1,CCT7
ABHD15-AS1,CCNI
ABHD15-AS1,CD63
ABHD15-AS1,CACNG8
ABHD15-AS1,CCAR1
ABHD15-AS1,CARMIL1
ABHD15-AS1,CCT8
ABHD15-AS1,C2CD3
ABHD15-AS1,CDC123
ABHD15-AS1,CAMSAP1
ABHD15-AS1,CCT4
ABHD15-AS1,CARS1
ABHD15-AS1,CDC37
ABHD15-AS1,CACNA2D1
ABHD15-AS1,CCDC6
ABHD15-AS1,CASKIN1
ABHD15-AS1,CDC16
ABHD15-AS1,CCNYL1
ABHD15-AS1,CDC25B
ABHD15-AS1,CCT5
ABHD15-AS1,CCM2
ABHD15-AS1,CCNY
ABHD15-AS1,CAPRIN2
ABHD15-AS1,CCSAP
ABHD15-AS1,CAMK2D
ABHD15-AS1,CCNL2
ABHD15-AS1,CCDC92
ABHD15-AS1,CANX
ABHD15-AS1,CCDC57
ABHD15-AS1,CBX6
ABHD15-AS1,CD99L2
ABHD15-AS1,CD2AP
ABHD15-AS1,CDH10
ABHD15-AS1,CDH12
ABHD15-AS1,CDC40
ABHD15-AS1,CDH22
ABHD15-AS1,CDH2
ABHD15-AS1,CDH20
ABHD15-AS1,CACNA1A
ABHD15-AS1,CCND2
ABHD15-AS1,CAMK1D
ABHD15-AS1,CDKN2D
ABHD15-AS1,CDIP1
ABHD15-AS1,CDK5R2
ABHD15-AS1,CDH18
ABHD15-AS1,CASK
ABHD15-AS1,CAMSAP2
ABHD15-AS1,CCDC171
ABHD15-AS1,CCNT2
ABHD15-AS1,CDK5RAP3
ABHD15-AS1,CDK10
ABHD15-AS1,CADM1
ABHD15-AS1,CD81
ABHD15-AS1,CEND1
ABHD15-AS1,CDK8
ABHD15-AS1,CDR2
ABHD15-AS1,CDK18
ABHD15-AS1,CDKAL1
ABHD15-AS1,CCDC30
ABHD15-AS1,CAMTA1
ABHD15-AS1,CDK5R1
ABHD15-AS1,CDK17
ABHD15-AS1,CDC14B
ABHD15-AS1,CDS1
ABHD15-AS1,CELF4
ABHD15-AS1,CDYL
ABHD15-AS1,CDC42BPB
ABHD15-AS1,CCDC186
ABHD15-AS1,CBFA2T2
ABHD15-AS1,CCDC93
