ligand,receptor
BMP8A,BMPR2
BMP8A,TGFBR1
BMP8A,TGFBR2
BMP8B,ACVR1
BMP8B,ACVR2A
BMP8B,ACVR2B
BMP8B,ACVRL1
BMP8B,BMPR1A
BMP8B,BMPR1B
BMP8B,BMPR2
BMP8B,PLAUR
BMPR1A,ENG
BMPR1B,ENG
BOC,LILRA6
BPI,SLAMF9
BSG,SELE
BSG,SLC16A1
BSG,SLC16A7
BST1,CAV1
BST2,LILRA4
BST2,LIRA4
BTC,EGFR
BTC,ERBB2
BTC,ERBB3
BTC,ERBB4
BTK,EPOR
BTK,JAK2
BTK,TNFRSF10A
BTLA,CD247
BTLA,CD276
BTLA,CD79A
BTLA,TNFRSF14
BTLA,TNR14
BTLA,VTCN1
BTN1A1,JAML
BTN1A1,NEGR1
BTN1A1,TARM1
BTN2A1,FAM187B
BTN3A1,LILRA3
BTN3A1,LRRC4B
BTN3A1,LRRC4C
BTN3A1,VSIG8
BTN3A2,LRRC4B
BTN3A3,LRRC4B
BTNL8,GP6
BTNL8,LILRA1
BTNL8,LILRA3
BTNL8,LILRB1
BTNL8,LILRB2
BTNL8,LILRB3
BTNL8,SIGLEC6
BTNL9,LRFN5
BY55,TNR14
C1orf112,PLSCR4
C1orf194,PLSCR4
C1QA,CD33
C1QA,CD93
C1QA,CR1
C1QA,CR1L
C1QA,CSPG4
C1QB,C1QBP
C1QB,CD33
C1QB,LRP1
C1QL2,AGRB3
C1QL3,AGRB3
C1QL4,AGRB3
C1QR1,INGR1
C1QRF,AGRB3
C1QTNF1,AVPR2
C1QTNF5,MFRP
C3,ADRA2A
C3,C3AR1
C3,C5AR2
C3,CD19
C3,CD46
C3,CD81
C3,CR1
C3,CR1L
C3,CR2
C3,GRM7
C3,IFITM1
C3,ITGAM
C3,ITGAX
C3,ITGB2
C3,LRP1
C3,MTNR1A
C3,NRP1
C4A,C3AR1
C4A,C5AR2
C4A,CD46
C4A,CR1
C4A,CR2
C4A,NRP1
C4B,CD46
C4B,CR1
C4B_2,CD46
C4B_2,CR1
C4BPA,BMPR2
C4BPA,CD40
C4BPA,LRP1
C5,ADRA2A
C5,C5AR1
C5,C5AR2
C5,GRM7
C5,MTNR1A
C6orf15,DDR1
CA12,SIGLEC6
CA2,AQP1
CADH1,KLRG1
CADH2,CADH2
CADH2,FCER2
CADH3,CADH3
CADH5,CADH5
CADH6,CADH6
CADH7,CADH7
CADM1,CADM1
CADM1,CADM3
CADM1,CRTAM
CADM1,ERBB3
CADM1,NECTIN3
CADM1,PTPN13
CADM1,PVRL3
CADM2,CADM1
CADM3,CADM1
CADM3,CADM2
CADM3,CADM3
CADM3,CADM4
CADM3,E41L1
CADM3,NECTIN3
CADM3,PEAR1
CADM3,PVRL3
CADM4,CADM2
CADM4,CADM3
CADM4,ERBB3
CADM4,MAG
CADM4,SDK2
CALC,CALCR
CALC1,ACKR3
CALC1,ADCYAP1R1
CALC1,ADRB2
CALC1,ADRB3
CALC1,CALCR
CALC1,CALCRL
CALC1,DCLK3
CALC1,GPR20
CALC1,GPR84
